date,universe,n,adv,dec,up_vol,dn_vol,up4,dn4,up25q,dn25q,up13_34,dn13_34,nh,nl,p_ab20,p_ab40,p_ab50,p_ab200,p_stack,p_s1,p_s2,p_s3,p_s4
2024-09-09,scan,84,67,17,24,7,14,0,22,0,28,0,2,0,88.1,98.81,100.0,100.0,98.81,0.0,100.0,0.0,0.0
2024-09-09,sp500,499,415,84,179,54,4,0,17,11,60,44,19,2,53.91,63.33,63.73,73.99,61.12,17.74,71.37,2.62,8.27
2024-09-10,all,3917,1949,1794,477,541,115,80,407,694,408,1242,70,77,36.95,39.61,43.67,48.6,39.23,19.4,45.31,3.36,31.93
2024-09-10,nasdaq,2793,1366,1273,319,329,102,53,328,642,306,1040,26,52,34.94,35.67,39.44,42.07,33.96,19.48,38.21,3.96,38.36
2024-09-10,r2000,1855,970,819,222,268,63,45,228,210,164,526,28,39,36.39,39.37,46.29,55.21,42.72,20.34,52.34,2.91,24.41
2024-09-10,scan,87,57,29,11,8,3,0,30,0,29,0,2,0,80.46,98.85,100.0,100.0,97.7,0.0,100.0,0.0,0.0
2024-09-10,sp500,499,268,227,67,91,3,8,19,11,67,47,34,6,51.7,62.93,63.33,73.19,60.92,18.75,70.56,2.62,8.06
2024-09-11,all,3919,1959,1800,677,550,196,49,440,617,457,1049,65,37,37.36,41.12,43.95,48.92,37.46,18.98,45.6,3.38,32.04
2024-09-11,nasdaq,2795,1425,1232,464,314,164,32,349,567,351,889,27,26,36.6,37.9,39.81,42.48,32.89,18.99,38.47,4.11,38.43
2024-09-11,r2000,1855,887,912,303,260,85,31,240,178,204,443,38,14,34.02,38.56,44.78,55.1,39.74,20.34,52.17,2.97,24.52
2024-09-11,scan,114,84,28,36,4,17,0,38,0,56,0,6,0,68.42,98.25,100.0,100.0,90.35,0.0,100.0,0.0,0.0
2024-09-11,sp500,499,245,250,118,121,26,1,25,10,60,26,17,2,51.5,67.33,66.33,73.59,58.72,17.94,71.57,2.02,8.47
2024-09-12,all,3920,2511,1240,711,359,153,44,499,620,472,1093,106,24,42.68,44.93,46.27,50.38,37.12,17.52,46.75,3.7,32.03
2024-09-12,nasdaq,2796,1621,1027,455,282,119,39,388,568,356,919,47,21,40.22,40.82,41.81,43.55,32.49,17.87,39.33,4.3,38.5
2024-09-12,r2000,1855,1348,432,365,128,88,20,289,184,205,472,58,7,42.86,45.16,48.62,57.3,38.93,18.13,53.96,3.41,24.51
2024-09-12,scan,127,117,9,28,2,9,0,34,0,52,0,8,0,76.38,98.43,100.0,100.0,86.61,0.0,100.0,0.0,0.0
2024-09-12,sp500,499,374,124,114,44,9,2,27,11,69,26,31,0,56.91,69.54,70.34,75.0,58.92,16.53,72.58,2.42,8.47
2024-09-13,all,3922,3035,760,939,235,308,23,606,584,447,1051,176,20,56.59,55.14,54.07,53.19,39.82,14.88,48.81,4.44,31.87
2024-09-13,nasdaq,2798,2031,650,627,190,220,20,462,545,345,890,72,19,53.07,50.29,48.97,46.01,34.9,15.7,40.97,5.12,38.21
2024-09-13,r2000,1855,1638,185,534,69,212,8,377,153,203,434,98,2,63.45,60.1,60.53,61.38,42.66,14.45,56.98,4.45,24.12
2024-09-13,scan,159,141,18,42,4,25,1,52,0,43,0,5,0,79.87,99.37,100.0,100.0,83.65,0.0,100.0,0.0,0.0
2024-09-13,sp500,499,419,78,99,27,8,2,36,10,55,25,51,0,66.13,76.15,73.35,77.02,60.92,14.11,74.8,2.22,8.87
2024-09-16,all,3925,2126,1641,698,480,93,91,566,592,513,974,156,35,58.31,56.97,54.95,53.32,41.73,14.74,48.64,4.73,31.89
2024-09-16,nasdaq,2801,1341,1324,467,374,78,82,433,552,398,834,62,32,53.4,51.7,49.22,45.86,36.43,15.84,40.43,5.49,38.23
